#,country,sector,repayment_interval,total_borrowers,total_loan_requested,total_funded_receivable,funding_gap_amount,funding_completion_rate,avg_term_months,avg_loan_size
163,Vietnam,Personal Use,irregular,5,14375,14375,0,100,11.8,2875
164,Vietnam,Entertainment,monthly,5,12000,12000,0,100,16.4,2400
165,Vietnam,Wholesale,irregular,2,7250,7250,0,100,13,3625
166,Vietnam,Arts,irregular,6,6925,6925,0,100,11.2,1154.17
167,Vietnam,Health,bullet,3,5200,5200,0,100,8,1733.33
168,Vietnam,Arts,monthly,3,4475,4475,0,100,18,1491.67
169,Vietnam,Wholesale,monthly,2,3400,3400,0,100,16,1700
170,Vietnam,Food,bullet,1,2425,2425,0,100,12,2425
171,Vietnam,Transportation,irregular,1,2325,2325,0,100,13,2325
172,Vietnam,Entertainment,irregular,1,950,950,0,100,11,950
